Nama Kampung,Kotamadya,Kecamatan,Kelurahan
Marlina,Jakarta Utara,Penjaringan,Penjaringan
Elektro,Jakarta Utara,Penjaringan,Penjaringan
Tongkol,Jakarta Utara,Pademangan,Ancol
Lodan,Jakarta Utara,Pademangan,Ancol
Kerapu,Jakarta Utara,Pademangan,Ancol
Kerang Ijo,Jakarta Utara,Pademangan,Pejagalan
Kunir,Jakarta Barat,Tamansari,Pinangsia
Baru (Tembok Bolong),Jakarta Utara,Penjaringan,Pluit
Muka,Jakarta Utara,Pademangan,Ancol
Kali Apuran,Jakarta Utara,Cengkareng,Kedaung Kali Angke
Rawa Barat,Jakarta Barat,Kebon Jeruk,Kebon Jeruk
Rawa Timur,Jakarta Barat,Kebon Jeruk,Kebon Jeruk
Blok Empang,Jakarta Utara,Penjaringan,Pluit
Gedong Pompa,Jakarta Utara,Penjaringan,Penjaringan
Aquarium,Jakarta Utara,Penjaringan,Penjaringan
Prumpung,Jakarta Timur,Cipinang Besar Utara,Jatinegara